date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,pitch_left,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left
17/08/2022,16:39:07,3,Free text,Test,11,1,1,7,2022_08_17-16_39_01.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0,0.124305556,0.031764706,0,0,0.156070261,0,0,0,0,0,0
17/08/2022,16:42:17,3,Free text,Test,12,1,4,4,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.36,0.441027778,0.55248,0,0,1.353507778,0,0,0,0,0,0
17/08/2022,16:43:13,3,Free text,Test,12,2,4,4,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.2,0.290222222,0.31256,0,0.04,0.842782222,0,0,0,0,0,0
17/08/2022,16:44:05,3,Free text,Test,12,3,2,6,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.12,0.341138889,0.34204,0,0,0.803178889,0,0,0,0,0,0
17/08/2022,16:44:59,3,Free text,Test,12,4,2,7,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.321027778,0.297,0,0,0.618027778,0,0,0,0,0,0
17/08/2022,16:45:50,3,Free text,Test,12,5,2,7,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.330416667,0.35408,0,0,0.684496667,0,0,0,0,0,0
17/08/2022,16:46:50,3,Free text,Test,12,6,2,5,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.16,0.289555556,0.36084,0,0,0.810395556,0,0,0,0,0,0
17/08/2022,16:47:44,3,Free text,Test,12,7,1,5,2022_08_17-16_42_04.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.12,0.121611111,0.04304,0,0,0.284651111,0,0,0,0,0,0
17/08/2022,16:50:47,3,Free text,Practice,13,1,1,6,2022_08_17-16_50_40.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.213305556,0.12375,0,0,0.337055556,0,0,0,0,0,0
17/08/2022,16:51:50,3,Free text,Practice,13,2,1,6,2022_08_17-16_50_40.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.35,0.349972222,0.77485,0,0.35,1.824822222,0,0,0,0,0,0
17/08/2022,16:52:51,3,Free text,Practice,13,3,1,7,2022_08_17-16_50_40.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.163805556,0.12075,0,0,0.284555556,0,0,0,0,0,0
17/08/2022,16:53:55,3,Free text,Practice,13,4,1,7,2022_08_17-16_50_40.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.097277778,0.0573,0,0.05,0.204577778,0,0,0,0,0,0
17/08/2022,16:55:05,3,Free text,Practice,13,5,1,7,2022_08_17-16_50_40.xml,None,40,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0,0.129944444,0.05505,0,0,0.184994444,0,0,0,0,0,0
17/08/2022,19:12:53,3,Free text,Retention,14,1,1,7,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.6,0.050777778,0.0394,0,0,0.690177778,0,0,0,0,0,0
17/08/2022,19:13:56,3,Free text,Retention,14,2,2,5,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.133333333,0.095305556,0.051866667,0.066666667,0,0.347172222,0,0,0,0,0,0
17/08/2022,19:14:46,3,Free text,Retention,14,3,1,6,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.066666667,0.06075,0.042333333,0,0,0.16975,0,0,0,0,0,0
17/08/2022,19:16:29,3,Free text,Retention,15,1,4,3,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.8,0.275861111,1.131666667,0,0.466666667,2.674194444,0,0,0,0,0,0
17/08/2022,19:17:33,3,Free text,Retention,15,2,2,5,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.8,0.253416667,1.065333333,0,0.333333333,2.452083333,0,0,0,0,0,0
17/08/2022,19:18:40,3,Free text,Retention,15,3,1,7,2022_08_17-19_12_37.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_20_41.mid,0.866666667,0.239777778,1.303333333,0,0.333333333,2.743111111,0,0,0,0,0,0
17/08/2022,19:20:45,3,Free text,Retention,16,1,1,7,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0,0.131777778,0.052647059,0,0,0.184424837,0,0,0,0,0,0
17/08/2022,19:21:35,3,Free text,Retention,16,2,1,7,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0.058823529,0.165555556,0.026529412,0,0,0.250908497,0,0,0,0,0,0
17/08/2022,19:22:26,3,Free text,Retention,16,3,1,7,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0.058823529,0.149638889,0.049352941,0,0,0.257815359,0,0,0,0,0,0
17/08/2022,19:24:10,3,Free text,Retention,17,1,2,6,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0.941176471,0.215222222,0.867470588,0,0.529411765,2.553281046,0,0,0,0,0,0
17/08/2022,19:25:05,3,Free text,Retention,17,2,1,7,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0.941176471,0.171805556,0.589235294,0.058823529,0.529411765,2.290452614,0,0,0,0,0,0
17/08/2022,19:26:05,3,Free text,Retention,17,3,1,7,2022_08_17-19_20_38.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_33_14.mid,0.941176471,0.171333333,0.889705882,0,0.470588235,2.472803922,0,0,0,0,0,0
17/08/2022,19:27:18,3,Free text,Retention,18,1,1,7,2022_08_17-19_27_13.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_50_40.mid,0,0.130138889,0.08585,0,0,0.215988889,0,0,0,0,0,0
17/08/2022,19:28:09,3,Free text,Retention,18,2,1,7,2022_08_17-19_27_13.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_50_40.mid,0,0.155972222,0.04995,0,0.05,0.255922222,0,0,0,0,0,0
17/08/2022,19:29:01,3,Free text,Retention,18,3,1,6,2022_08_17-19_27_13.xml,None,50,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",D:/Jason/comp_scaffold/DexmoPiano/output/2022_08_17-16_50_40.mid,0,0.159722222,0.087,0,0.05,0.296722222,0,0,0,0,0,0
